"codigo_viagem";"empresa";"nu_linha";"onibus";"tipo_viagem";"sentido_linha";"in_transbordo";"origem";"origem_uf";"destino";"destino_uf";"lat";"lon";"pdop";"data_viagem_programada";"data_inicio_viagem";"data_fim_viagem"
"5c0c8ae5";"808be8bd";"22e790e7";"6967cc64";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,791924;-38,509563;1,04;2019-01-07 22:00:00;2019-01-08 01:08:59;2019-01-08 11:49:36
"4ca1f78f";"808be8bd";"22e790e7";"59f426f6";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-2,927975;-41,753015;0,84;2019-01-07 23:00:00;2019-01-08 02:01:53;2019-01-08 10:18:08
"3ba6c719";"808be8bd";"c61822da";"be681b65";"regular";"volta";"não";"SAO LUIS";"MA";"TERESINA";"PI";-2,536766;-44,227698;0,76;2019-01-08 06:15:00;2019-01-08 09:22:05;2019-01-08 05:13:37
"75c283c4";"808be8bd";"22e790e7";"42c2dcc9";"regular";"ida";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,757371;-38,530315;0,78;2019-01-08 07:15:00;2019-01-08 10:20:03;2019-01-08 07:35:16
"fb0b6b0d";"808be8bd";"22e790e7";"759e0fec";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-2,919203;-41,758913;0,8;2019-01-08 10:00:00;2019-01-08 01:11:12;2019-01-08 10:55:16
"30f3d1d0";"808be8bd";"b46cef63";"001fbeeb";"regular";"ida";"não";"FORTALEZA";"CE";"NATAL";"RN";-3,75748;-38,530441;0,63;2019-01-08 12:00:00;2019-01-08 02:59:52;2019-01-08 11:51:39
"f17bafde";"808be8bd";"eddb98c0";"eca079b7";"regular";"ida";"não";"IMPERATRIZ";"MA";"JOAO PESSOA";"PB";-5,476596;-47,472223;0,54;2019-01-08 16:30:00;2019-01-08 07:31:09;2019-01-10 09:30:08
"ba76cdd5";"808be8bd";"b46cef63";"4f3bed83";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819625;-35,235423;0,9;2019-01-08 21:00:00;2019-01-09 12:20:52;2019-01-09 09:26:52
"cd71fd43";"808be8bd";"22e790e7";"42c2dcc9";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-0,757206;-42,496594;1,56;2019-01-08 21:00:00;2019-01-09 12:13:41;2019-01-16 07:32:20
"5dcee0d2";"808be8bd";"4d504d0a";"759e0fec";"regular";"ida";"não";"SAO LUIS";"MA";"PARNAIBA";"PI";-2,536715;-44,227693;0,77;2019-01-08 21:00:00;2019-01-09 12:06:41;2019-01-09 10:43:56
